document_id,file_name,stem,extension,absolute_path,relative_path,parent_folder,size_bytes,size_mb,created_time,modified_time,sha256,mime_type,is_supported,conversion_candidate,hash_error
DOC000022,Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,Tunnel_ 3 Types and Classification of Tunnel and Purposes,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,Leyla Literatür/TunelMaliyet,680770,0.649233,2026-08-12T19:11:13+03:00,2021-09-08T15:50:18+03:00,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3,application/pdf,True,True,
DOC000023,Tunnels-PIARC.docx,Tunnels-PIARC,.docx,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\Tunnels-PIARC.docx,Leyla Literatür/TunelMaliyet/Tunnels-PIARC.docx,Leyla Literatür/TunelMaliyet,13114,0.012506,2026-08-12T19:11:13+03:00,2024-03-12T17:03:33+03:00,69d7dba96886fbecd37b45962e192ea54cd8024f239786977caadf0e25fef04e,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,True,
DOC000024,TUNNELS-TYPESANDIMPORTANCE.pdf,TUNNELS-TYPESANDIMPORTANCE,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\TUNNELS-TYPESANDIMPORTANCE.pdf,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,Leyla Literatür/TunelMaliyet,740327,0.706031,2026-08-12T19:11:13+03:00,2021-09-08T15:52:42+03:00,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396,application/pdf,True,True,
DOC000025,What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,Leyla Literatür/TunelMaliyet,2818470,2.687902,2026-08-12T19:11:13+03:00,2021-09-08T16:02:58+03:00,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644,application/pdf,True,True,
DOC000026,1-s2.0-S0886779816307866-main (2).pdf,1-s2.0-S0886779816307866-main (2),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\1-s2.0-S0886779816307866-main (2).pdf,Leyla Literatür/Tünel/1-s2.0-S0886779816307866-main (2).pdf,Leyla Literatür/Tünel,1356072,1.293251,2026-08-12T19:11:13+03:00,2024-02-26T16:03:19+03:00,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,application/pdf,True,True,
DOC000027,2bff0e55530a5f042b71b7245b9310a5_original (1).pdf,2bff0e55530a5f042b71b7245b9310a5_original (1),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original (1).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (1).pdf,Leyla Literatür/Tünel,14996763,14.302028,2026-08-12T19:11:13+03:00,2024-01-25T15:47:26+03:00,752100774713db4bce1bba84ccbd571af14868359841be4afb343ab4b4e4328f,application/pdf,True,True,
DOC000028,2bff0e55530a5f042b71b7245b9310a5_original (2).pdf,2bff0e55530a5f042b71b7245b9310a5_original (2),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original (2).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (2).pdf,Leyla Literatür/Tünel,41138159,39.232406,2026-08-12T19:11:14+03:00,2024-01-25T15:47:43+03:00,abc6dcf8e707da2f77f6aa3777630d823ed934fca48f67821114ed835ea64e63,application/pdf,True,True,
DOC000029,2bff0e55530a5f042b71b7245b9310a5_original (3).pdf,2bff0e55530a5f042b71b7245b9310a5_original (3),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original (3).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (3).pdf,Leyla Literatür/Tünel,81051652,77.296879,2026-08-12T19:11:16+03:00,2024-01-25T15:48:26+03:00,7f177b472ed62ef801089d0cdc51369c39b4f89669880fe37871ea63672066df,application/pdf,True,True,
DOC000030,2bff0e55530a5f042b71b7245b9310a5_original (4).pdf,2bff0e55530a5f042b71b7245b9310a5_original (4),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original (4).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (4).pdf,Leyla Literatür/Tünel,5273420,5.029125,2026-08-12T19:11:20+03:00,2024-01-25T15:48:53+03:00,17e5e4aa41637a66b3dee7c8c71e79a278cdccb4c134fd115eb7a4a66aa24f32,application/pdf,True,True,
DOC000031,2bff0e55530a5f042b71b7245b9310a5_original (5).pdf,2bff0e55530a5f042b71b7245b9310a5_original (5),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original (5).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (5).pdf,Leyla Literatür/Tünel,67050668,63.9445,2026-08-12T19:11:20+03:00,2024-01-25T15:49:13+03:00,784b14ff9e8444a97c6d284d4fe232dab00589930f78f3c4ecf441816251e1db,application/pdf,True,True,
DOC000032,2bff0e55530a5f042b71b7245b9310a5_original (6).pdf,2bff0e55530a5f042b71b7245b9310a5_original (6),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original (6).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (6).pdf,Leyla Literatür/Tünel,67050668,63.9445,2026-08-12T19:11:23+03:00,2024-01-25T15:49:26+03:00,784b14ff9e8444a97c6d284d4fe232dab00589930f78f3c4ecf441816251e1db,application/pdf,True,True,
DOC000033,2bff0e55530a5f042b71b7245b9310a5_original (7).pdf,2bff0e55530a5f042b71b7245b9310a5_original (7),.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original (7).pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original (7).pdf,Leyla Literatür/Tünel,9728807,9.278113,2026-08-12T19:11:26+03:00,2024-01-25T15:49:38+03:00,290648f6f7fc8e05fe816c0b981659f49af95ca7c31f137e180c1169c15bbe29,application/pdf,True,True,
DOC000034,2bff0e55530a5f042b71b7245b9310a5_original.pdf,2bff0e55530a5f042b71b7245b9310a5_original,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\Tünel\2bff0e55530a5f042b71b7245b9310a5_original.pdf,Leyla Literatür/Tünel/2bff0e55530a5f042b71b7245b9310a5_original.pdf,Leyla Literatür/Tünel,15934688,15.196503,2026-08-12T19:11:26+03:00,2024-01-25T15:46:35+03:00,ab9820d96be33b424672d580d8bfc3cb2133ef5306ca2dc708359bf0363d8e1c,application/pdf,True,True,
