logical_group_id,document_id,file_name,relative_path,extension,normalized_title,match_method,confidence,preferred_source
LOGICAL00017,DOC000053,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi[#367279]-384775.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi[#367279]-384775.pdf,.pdf,dergipark kop t neli yap m al malar ve metodolojisi 367279 384775,exact_normalized_title,high,False
LOGICAL00018,DOC000122,Guideline_Geotechnical_Design_conv_2010_01.docx,Mehmet/Literatur/Wordler/YTMK/2015/Guideline_Geotechnical_Design_conv_2010_01.docx,.docx,guideline geotechnical design conv 2010 01,exact_normalized_title,high,True
LOGICAL00018,DOC000149,Guideline_Geotechnical_Design_conv_2010_01.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/Guideline_Geotechnical_Design_conv_2010_01.pdf,.pdf,guideline geotechnical design conv 2010 01,exact_normalized_title,high,False
LOGICAL00019,DOC000098,Harran Uni_Yüksek Lisans Tezi.docx,Mehmet/Literatur/Wordler/Harran Uni_Yüksek Lisans Tezi.docx,.docx,harran uni yuksek lisans tezi,exact_normalized_title,high,True
LOGICAL00019,DOC000081,Harran Uni_Yüksek Lisans Tezi.pdf,Mehmet/Literatur/Harran Uni_Yüksek Lisans Tezi.pdf,.pdf,harran uni yuksek lisans tezi,exact_normalized_title,high,False
LOGICAL00020,DOC000099,IMO_12782.docx,Mehmet/Literatur/Wordler/IMO_12782.docx,.docx,imo 12782,exact_normalized_title,high,True
LOGICAL00020,DOC000082,IMO_12782.pdf,Mehmet/Literatur/IMO_12782.pdf,.pdf,imo 12782,exact_normalized_title,high,False
LOGICAL00021,DOC000100,IMO_TBM Maliyet_18238_29_19.docx,Mehmet/Literatur/Wordler/IMO_TBM Maliyet_18238_29_19.docx,.docx,imo tbm maliyet 18238 29 19,exact_normalized_title,high,True
LOGICAL00021,DOC000083,IMO_TBM Maliyet_18238_29_19.pdf,Mehmet/Literatur/IMO_TBM Maliyet_18238_29_19.pdf,.pdf,imo tbm maliyet 18238 29 19,exact_normalized_title,high,False
LOGICAL00022,DOC000071,ITU Yuksek Lisans Tezi.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/ITU Yuksek Lisans Tezi.docx,.docx,itu yuksek lisans tezi,exact_normalized_title,high,True
LOGICAL00022,DOC000058,ITU Yuksek Lisans Tezi.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/ITU Yuksek Lisans Tezi.pdf,.pdf,itu yuksek lisans tezi,exact_normalized_title,high,False
LOGICAL00023,DOC000102,KayaTunelleri_AnkUni_Konu13.docx,Mehmet/Literatur/Wordler/KayaTunelleri_AnkUni_Konu13.docx,.docx,kayatunelleri ankuni konu13,exact_normalized_title,high,True
LOGICAL00023,DOC000085,KayaTunelleri_AnkUni_Konu13.pdf,Mehmet/Literatur/KayaTunelleri_AnkUni_Konu13.pdf,.pdf,kayatunelleri ankuni konu13,exact_normalized_title,high,False
LOGICAL00024,DOC000103,KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,Mehmet/Literatur/Wordler/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.docx,.docx,kpt kaynarcapendiktuzla metrosu 24220221180893,exact_normalized_title,high,True
LOGICAL00024,DOC000059,KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.pdf,.pdf,kpt kaynarcapendiktuzla metrosu 24220221180893,exact_normalized_title,high,False
LOGICAL00025,DOC000072,KTU_Tez_Tam Metin.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/KTU_Tez_Tam Metin.docx,.docx,ktu tez tam metin,exact_normalized_title,high,True
LOGICAL00025,DOC000060,KTU_Tez_Tam Metin.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/KTU_Tez_Tam Metin.pdf,.pdf,ktu tez tam metin,exact_normalized_title,high,False
LOGICAL00026,DOC000105,Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,Mehmet/Literatur/Wordler/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.docx,.docx,maden muh oda italyan tunel acma yontemi2475424055cc5ce ek,exact_normalized_title,high,True
LOGICAL00026,DOC000090,Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.pdf,Mehmet/Literatur/Maden Muh Oda_Italyan Tunel Acma Yontemi2475424055cc5ce_ek.pdf,.pdf,maden muh oda italyan tunel acma yontemi2475424055cc5ce ek,exact_normalized_title,high,False
LOGICAL00027,DOC000123,OeGG_Monitoring_Handbook.docx,Mehmet/Literatur/Wordler/YTMK/2015/OeGG_Monitoring_Handbook.docx,.docx,oegg monitoring handbook,exact_normalized_title,high,True
LOGICAL00027,DOC000150,OeGG_Monitoring_Handbook.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/OeGG_Monitoring_Handbook.pdf,.pdf,oegg monitoring handbook,exact_normalized_title,high,False
LOGICAL00028,DOC000073,SinaKiziroglu.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.docx,.docx,sinakiziroglu,exact_normalized_title,high,True
LOGICAL00028,DOC000062,SinaKiziroglu.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/SinaKiziroglu.pdf,.pdf,sinakiziroglu,exact_normalized_title,high,False
LOGICAL00029,DOC000075,Tünel Eğitim Kitabı 8 EYLÜL 2016.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Tünel Eğitim Kitabı 8 EYLÜL 2016.docx,.docx,tunel egitim kitabi 8 eylul 2016,exact_normalized_title,high,True
LOGICAL00029,DOC000050,Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,Literatür ve Araştırmalar/Tünel Eğitim Kitabı 8 EYLÜL 2016.pdf,.pdf,tunel egitim kitabi 8 eylul 2016,exact_normalized_title,high,False
LOGICAL00030,DOC000074,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,.docx,tunellerde destek sistemleri ve guclendi,exact_normalized_title,high,True
LOGICAL00030,DOC000064,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.pdf,.pdf,tunellerde destek sistemleri ve guclendi,exact_normalized_title,high,False
LOGICAL00031,DOC000124,YTU Yuksek Lisans.docx,Mehmet/Literatur/Wordler/YTU Yuksek Lisans.docx,.docx,ytu yuksek lisans,exact_normalized_title,high,True
LOGICAL00031,DOC000152,YTU Yuksek Lisans.pdf,Mehmet/Literatur/YTU Yuksek Lisans.pdf,.pdf,ytu yuksek lisans,exact_normalized_title,high,False
