duplicate_group_id,canonical_candidate,document_id,file_name,relative_path,extension,size_bytes,sha256
EXACT00024,True,DOC000069,19 MayısUniversitesi14. hafta (2020-2021).docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).docx,.docx,1762160,43e15adde21fcb6bd4b3b48cb6332a31428312d3c406f330ad4fbaa63aecdcfa
EXACT00024,False,DOC000095,19 MayısUniversitesi14. hafta (2020-2021).docx,Mehmet/Literatur/Wordler/19 MayısUniversitesi14. hafta (2020-2021).docx,.docx,1762160,43e15adde21fcb6bd4b3b48cb6332a31428312d3c406f330ad4fbaa63aecdcfa
EXACT00025,True,DOC000070,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,.docx,1258431,79b4e713b47ad813559ebeb269d37ed5ea60f56a1308da05d3610a2ed5578cc6
EXACT00025,False,DOC000097,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,Mehmet/Literatur/Wordler/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,.docx,1258431,79b4e713b47ad813559ebeb269d37ed5ea60f56a1308da05d3610a2ed5578cc6
EXACT00026,True,DOC000071,ITU Yuksek Lisans Tezi.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/ITU Yuksek Lisans Tezi.docx,.docx,1563470,cf2fad9c374cff80978324d92e88dd00d6cd4bcb5fd229df8973cfe565b1a477
EXACT00026,False,DOC000101,ITU Yuksek Lisans Tezi.docx,Mehmet/Literatur/Wordler/ITU Yuksek Lisans Tezi.docx,.docx,1563470,cf2fad9c374cff80978324d92e88dd00d6cd4bcb5fd229df8973cfe565b1a477
EXACT00027,True,DOC000072,KTU_Tez_Tam Metin.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/KTU_Tez_Tam Metin.docx,.docx,3471718,d8c47fd59b8c006c036f09be83fed7ee7fd3654016e8a6543caf32addd182c26
EXACT00027,False,DOC000104,KTU_Tez_Tam Metin.docx,Mehmet/Literatur/Wordler/KTU_Tez_Tam Metin.docx,.docx,3471718,d8c47fd59b8c006c036f09be83fed7ee7fd3654016e8a6543caf32addd182c26
EXACT00028,True,DOC000073,SinaKiziroglu.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.docx,.docx,44981113,9fea1e259f10c9d371f0762816d9b80216f58e29841b79b2ca26aa9312ec177c
EXACT00028,False,DOC000108,2bff0e55530a5f042b71b7245b9310a5_original.docx,Mehmet/Literatur/Wordler/YTMK/2013/2bff0e55530a5f042b71b7245b9310a5_original.docx,.docx,44981113,9fea1e259f10c9d371f0762816d9b80216f58e29841b79b2ca26aa9312ec177c
EXACT00029,True,DOC000074,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,.docx,2672336,2acb6a1bea35571728e776f6c3a4449eb9abd9d79a34f3111e700a216eb6a2ea
EXACT00029,False,DOC000106,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,Mehmet/Literatur/Wordler/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,.docx,2672336,2acb6a1bea35571728e776f6c3a4449eb9abd9d79a34f3111e700a216eb6a2ea
EXACT00030,True,DOC000075,Tünel Eğitim Kitabı 8 EYLÜL 2016.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Tünel Eğitim Kitabı 8 EYLÜL 2016.docx,.docx,25031973,1fb6b71a35f819248daf881974423edfaa28cfc580283528ee1be885a439fd2e
EXACT00030,False,DOC000107,Tünel Eğitim Kitabı 8 EYLÜL 2016.docx,Mehmet/Literatur/Wordler/Tünel Eğitim Kitabı 8 EYLÜL 2016.docx,.docx,25031973,1fb6b71a35f819248daf881974423edfaa28cfc580283528ee1be885a439fd2e
EXACT00031,True,DOC000153,10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,Sunumlar_2022/10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,.pdf,1161772,8c40ec5ec7c1cb1e451a146d3c19f951a3041dc6a83f0d886f536e059bbce6eb
EXACT00031,False,DOC000178,10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,Tünel Dergisi/Sunumlar_2022/10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,.pdf,1161772,8c40ec5ec7c1cb1e451a146d3c19f951a3041dc6a83f0d886f536e059bbce6eb
EXACT00032,True,DOC000154,11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,.pdf,1801701,6a3e8bf61cc46e81e500a8315b25864943df7ce31ca83e59c5d00d36558481f1
EXACT00032,False,DOC000179,11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,Tünel Dergisi/Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,.pdf,1801701,6a3e8bf61cc46e81e500a8315b25864943df7ce31ca83e59c5d00d36558481f1
EXACT00033,True,DOC000155,12_1_Fire Safety in Tunnels.pdf,Sunumlar_2022/12_1_Fire Safety in Tunnels.pdf,.pdf,1098657,b952814dcd0347a888e7957e78f138ff40cb0b3eed7f10c34a215c3b1a775925
EXACT00033,False,DOC000180,12_1_Fire Safety in Tunnels.pdf,Tünel Dergisi/Sunumlar_2022/12_1_Fire Safety in Tunnels.pdf,.pdf,1098657,b952814dcd0347a888e7957e78f138ff40cb0b3eed7f10c34a215c3b1a775925
EXACT00034,True,DOC000156,12_2_Fire Safety in Tunnels.pdf,Sunumlar_2022/12_2_Fire Safety in Tunnels.pdf,.pdf,1389194,85283ef6c13967fdbf3453026f913b303b7a06a905bc8fd86cd93eb93685975b
EXACT00034,False,DOC000181,12_2_Fire Safety in Tunnels.pdf,Tünel Dergisi/Sunumlar_2022/12_2_Fire Safety in Tunnels.pdf,.pdf,1389194,85283ef6c13967fdbf3453026f913b303b7a06a905bc8fd86cd93eb93685975b
EXACT00035,True,DOC000157,1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,.pdf,4247551,246054e0940d9efbe0562a68fc621120e8cf7a22fd1028f0a588f3fb998a6395
EXACT00035,False,DOC000182,1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,Tünel Dergisi/Sunumlar_2022/1_Professor Arnold Dix_People and Planet – how to get finance for new projects that mitigate the perils of Climate Change now.pdf,.pdf,4247551,246054e0940d9efbe0562a68fc621120e8cf7a22fd1028f0a588f3fb998a6395
EXACT00036,True,DOC000158,2_Present and Future of Tunnel Constructions in Transportation Infrastructure.pdf,Sunumlar_2022/2_Present and Future of Tunnel Constructions in Transportation Infrastructure.pdf,.pdf,10408011,04c57c21fdf18e5176f04fa367b8aa609d394673f6051f3afffa206e12c8080f
EXACT00036,False,DOC000183,2_Present and Future of Tunnel Constructions in Transportation Infrastructure.pdf,Tünel Dergisi/Sunumlar_2022/2_Present and Future of Tunnel Constructions in Transportation Infrastructure.pdf,.pdf,10408011,04c57c21fdf18e5176f04fa367b8aa609d394673f6051f3afffa206e12c8080f
EXACT00037,True,DOC000159,3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,.pdf,2957042,96783c6ed7f86ae20ca934964dbc5a84caa25b83f59f6a648481f87d6aa90eaf
EXACT00037,False,DOC000184,3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,Tünel Dergisi/Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,.pdf,2957042,96783c6ed7f86ae20ca934964dbc5a84caa25b83f59f6a648481f87d6aa90eaf
