document_id,source_relative_path,source_extension,source_sha256,baseline_converter,reason_for_full_docling,size_bytes,page_count_if_known,selected,pilot_selected,pilot_role,stress_selected,stress_reason
DOC000154,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,.pdf,6a3e8bf61cc46e81e500a8315b25864943df7ce31ca83e59c5d00d36558481f1,pypdf_fallback,layout_quality_check,1801701,,true,false,,false,
DOC000021,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,.pdf,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e,pypdf_fallback,layout_quality_check,1834926,,true,false,,false,
DOC000308,Özgür Satıcı/Differentmethodsusedinundergroundexcavationsandunderground.pdf,.pdf,c4987601a2d7857f561d166c8d26abe203dfcede12cc9f56772e3ce817350da1,pypdf_fallback,layout_quality_check,2444184,,true,false,,false,
DOC000209,"Tünel Kazaları, Çökmeler ve Felaketler/Dünyada Tünel Felaketleri.docx",.docx,991e7004905db22e011a30b0cdc12396b3baf31c89d416acbe097a289793529c,libreoffice_pdf+pypdfium2+rapidocr_torch,ocr_comparison,2581142,,true,false,,false,
DOC000286,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Makro sentetik Fiber.pptx,.pptx,ff1e7d59fb0882df30a4378e353cd1f70a2cfeb8a45b682715a50a49c020ffe5,python_pptx_fallback,python_pptx_fallback,2588164,,true,true,pptx,false,
DOC000281,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/Makro sentetik Fiber.pptx,.pptx,0a256c5562db6c6bcb23763c5969f3b1c993a084ee8a4c87b426e3474939cf86,python_pptx_fallback,python_pptx_fallback,2588267,,true,false,,false,
DOC000098,Mehmet/Literatur/Wordler/Harran Uni_Yüksek Lisans Tezi.docx,.docx,9fdf7f646f22681990358b84be08bc9563ec2f2c769dd01ecad875f511e3acdc,python_docx_fallback,python_docx_fallback,2624413,,true,false,,false,
DOC000042,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,.pdf,1b4596736bbcf61f370be7bc684f3367977e401954abf3a8556b5e8565a3782a,pypdf_fallback,layout_quality_check,2632516,,true,false,,false,
DOC000074,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,.docx,2acb6a1bea35571728e776f6c3a4449eb9abd9d79a34f3111e700a216eb6a2ea,python_docx_fallback,python_docx_fallback,2672336,,true,false,,false,
DOC000121,Mehmet/Literatur/Wordler/YTMK/2015/Austrian-practice-of_tunnelling-contracts_Engl.docx,.docx,137b3889a8250d821c0ca34c92a00f633489aa4064c3f7c4b09a8d7e815fa232,python_docx_fallback,python_docx_fallback,2731136,,true,false,,false,
DOC000025,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,.pdf,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644,pypdf_fallback,layout_quality_check,2818470,,true,false,,false,
DOC000036,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,.pdf,1c8cf251c81e8ae5e70c88b1489519d81ffba3399b43b05e64239d633a488937,pypdf_fallback,layout_quality_check,2821327,,true,false,,false,
DOC000159,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,.pdf,96783c6ed7f86ae20ca934964dbc5a84caa25b83f59f6a648481f87d6aa90eaf,pypdf_fallback,layout_quality_check,2957042,,true,false,,false,
DOC000309,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,.pdf,6a4602e3a0259548e858106ec652f0d7b5933684664e75c037f918ca2a34d8e9,pypdf_fallback,layout_quality_check,2981765,,true,false,,false,
