document_id,source_file,source_relative_path,source_extension,source_sha256,previous_converter,output_md,status,started_at,finished_at,duration_seconds,error_message,chunk_count,runtime_fingerprint
DOC000098,Harran Uni_Yüksek Lisans Tezi.docx,Mehmet/Literatur/Wordler/Harran Uni_Yüksek Lisans Tezi.docx,.docx,9fdf7f646f22681990358b84be08bc9563ec2f2c769dd01ecad875f511e3acdc,python_docx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Literatur/Wordler/Harran Uni_Yüksek Lisans Tezi.md,success,2026-08-13T20:22:09+00:00,2026-08-13T20:22:23+00:00,14.345,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000042,Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,.pdf,1b4596736bbcf61f370be7bc684f3367977e401954abf3a8556b5e8565a3782a,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.md,success,2026-08-13T20:22:23+00:00,2026-08-13T20:22:34+00:00,10.85,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000074,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,.docx,2acb6a1bea35571728e776f6c3a4449eb9abd9d79a34f3111e700a216eb6a2ea,python_docx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.md,success,2026-08-13T20:22:34+00:00,2026-08-13T20:22:46+00:00,11.662,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000121,Austrian-practice-of_tunnelling-contracts_Engl.docx,Mehmet/Literatur/Wordler/YTMK/2015/Austrian-practice-of_tunnelling-contracts_Engl.docx,.docx,137b3889a8250d821c0ca34c92a00f633489aa4064c3f7c4b09a8d7e815fa232,python_docx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Literatur/Wordler/YTMK/2015/Austrian-practice-of_tunnelling-contracts_Engl.md,success,2026-08-13T20:22:47+00:00,2026-08-13T20:22:56+00:00,8.916,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000025,What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,.pdf,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.md,success,2026-08-13T20:22:56+00:00,2026-08-13T20:23:03+00:00,7.364,,2,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000036,20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,.pdf,1c8cf251c81e8ae5e70c88b1489519d81ffba3399b43b05e64239d633a488937,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.md,success,2026-08-13T20:23:03+00:00,2026-08-13T20:24:43+00:00,99.708,,4,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000159,3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.pdf,.pdf,96783c6ed7f86ae20ca934964dbc5a84caa25b83f59f6a648481f87d6aa90eaf,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/3_HIZRAY Project and Planned Future of Istanbul Metro Works.md,quality_reject_use_baseline,2026-08-13T20:24:43+00:00,2026-08-13T20:24:58+00:00,14.876,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000309,OS_JMO_DERGİ_39_1.pdf,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,.pdf,6a4602e3a0259548e858106ec652f0d7b5933684664e75c037f918ca2a34d8e9,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Özgür Satıcı/OS_JMO_DERGİ_39_1.md,success,2026-08-13T20:24:58+00:00,2026-08-13T20:25:05+00:00,6.581,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000002,12229738_04.pdf,Leyla Literatür/TunelMaliyet/12229738_04.pdf,.pdf,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Leyla Literatür/TunelMaliyet/12229738_04.md,success,2026-08-13T20:25:05+00:00,2026-08-13T20:26:08+00:00,63.103,,5,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000170,Risk Analysis for Road Tunnels PIARC.pdf,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Risk Analysis for Road Tunnels PIARC.pdf,.pdf,98947b1040b98d24a49728ff7d0b0f6a8fa58fdc86cb2539c71a83e467b023fc,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Risk Analysis for Road Tunnels PIARC.md,success,2026-08-13T20:26:08+00:00,2026-08-13T20:27:33+00:00,85.324,,5,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
