document_id,title,source_file,source_relative_path,source_extension,sha256,language,document_type,organization,year,authority_level,topics,duplicate_group,preferred_variant,conversion_engine,markdown_file
DOC000022,Tunnel_ 3 Types and Classification of Tunnel and Purposes,Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,.pdf,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3,en,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\Tunnel_ 3 Types and Classification of Tunnel and Purposes.md
DOC000023,Tunnels-PIARC,Tunnels-PIARC.docx,Leyla Literatür/TunelMaliyet/Tunnels-PIARC.docx,.docx,69d7dba96886fbecd37b45962e192ea54cd8024f239786977caadf0e25fef04e,,unknown,PIARC,,A,,,True,docling,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\Tunnels-PIARC.md
DOC000024,TUNNELS-TYPESANDIMPORTANCE,TUNNELS-TYPESANDIMPORTANCE.pdf,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,.pdf,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\TUNNELS-TYPESANDIMPORTANCE.md
DOC000025,What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels,What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,.pdf,2879f22960b2b823d22e703752762a07051ec43416aa503908de1b0f066b9644,en,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Leyla Literatür\TunelMaliyet\What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.md
DOC000036,20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği,20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,.pdf,1c8cf251c81e8ae5e70c88b1489519d81ffba3399b43b05e64239d633a488937,tr,regulation,,,A,operation,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.md
DOC000037,3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013,3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,.pdf,59634dde95d44e0e192ef4a50411b951775a18bfcaa7db6bf103defe6cfb2f4c,tr,conference_paper,,2013,C,excavation,,True,pypdfium2+rapidocr_torch,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.md
DOC000038,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project,An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,.pdf,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639,,unknown,,,,cost,EXACT00003,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.md
DOC000039,Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible,Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,.pdf,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.md
DOC000041,Estimate of annual operating costs Highway Tunnel,Estimate of annual operating costs Highway Tunnel.pdf,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,.pdf,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592,,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\Estimate of annual operating costs Highway Tunnel.md
DOC000042,Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları,Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,.pdf,1b4596736bbcf61f370be7bc684f3367977e401954abf3a8556b5e8565a3782a,tr,unknown,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.md
DOC000044,"Management of road tunnels_Construction, maintenance","Management of road tunnels_Construction, maintenance.pdf","Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf",.pdf,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc,en,unknown,,,,maintenance,,True,docling,"C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\Management of road tunnels_Construction, maintenance.md"
DOC000045,TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri,TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,.pdf,5d524bf61343305c4f9c1a8fda2248659201b7fa0304f2a8c00b0c9559d8dbc4,tr,unknown,,,,safety,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.md
DOC000047,tunnel_manual_FHWA,tunnel_manual_FHWA.pdf,Literatür ve Araştırmalar/tunnel_manual_FHWA.pdf,.pdf,153e9e2a4af4519f1e27a0440e0b3b06b3433db721cb527217f3a14f050abbdd,en,manual,,,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\tunnel_manual_FHWA.md
DOC000048,TÜNEL BAKIM İŞLETME EL KİTABI,TÜNEL BAKIM İŞLETME EL KİTABI.pdf,Literatür ve Araştırmalar/TÜNEL BAKIM İŞLETME EL KİTABI.pdf,.pdf,a23b1e815eedc4a3c978b6a03a734d9c2099b428df2ead2d9d622db8f5d4ebdd,tr,unknown,,,,maintenance|operation,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\TÜNEL BAKIM İŞLETME EL KİTABI.md
DOC000049,TÜNEL ENVANTER KİTABI 2015,TÜNEL ENVANTER KİTABI 2015.pdf,Literatür ve Araştırmalar/TÜNEL ENVANTER KİTABI 2015.pdf,.pdf,5c229054fb8f53a306c097f128ec7004fbaf7d1a52bad4f5bc778f5e91888b54,tr,unknown,,2015,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\TÜNEL ENVANTER KİTABI 2015.md
DOC000051,Tünel Haritası 2024_KGMWEB,Tünel Haritası 2024_KGMWEB.pdf,Literatür ve Araştırmalar/Tünel Haritası 2024_KGMWEB.pdf,.pdf,164a2494261086dbb9d2446b8ab4a1141ead7783629ac7d21915fdd57d7bcf11,tr,unknown,,2024,,,,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Literatür ve Araştırmalar\Tünel Haritası 2024_KGMWEB.md
DOC000054,Enjeksiyon  Foto2,Enjeksiyon  Foto2.jpg,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,.jpg,c5b8b61e1d07edae30e7d35e3dc56cce68fc7b53c297f49f3284d708bb25ab9b,,unknown,,,,,,True,rapidocr_torch+filename_caption,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Foto\Enjeksiyon  Foto2.md
DOC000055,Enjeksiyon Foto1,Enjeksiyon Foto1.jpg,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon Foto1.jpg,.jpg,3b434b03f09745ed6d9cbad38c6e4003304f4e1377b5b93cb9fde5d0885bab35,,unknown,,,,,,True,rapidocr_torch+filename_caption,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Foto\Enjeksiyon Foto1.md
DOC000056,Foto_Kaynak,Foto_Kaynak.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Foto_Kaynak.docx,.docx,8e2601e33aad2c570d8dc5a4467a48a5dc5a6ee6c8e75bdc132f9820a57e3629,,unknown,,,,,,True,docling,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Foto\Foto_Kaynak.md
DOC000057,InvertBetonUygulaması,InvertBetonUygulaması.png,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/InvertBetonUygulaması.png,.png,c77a14960e997ca95740010fef35aba2ec824861a306004633b190bc4d42d408,,unknown,,,,,,True,rapidocr_torch+filename_caption,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Foto\InvertBetonUygulaması.md
DOC000061,Kullanılan Kaynaklar,Kullanılan Kaynaklar.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Kullanılan Kaynaklar.docx,.docx,8f9bd4acad19365a616857fd4684f9f8bc1011942061c1cd86fe5be40989a07f,,unknown,,,,,,True,docling,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Kullanılan Kaynaklar.md
DOC000063,tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c,tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,.pdf,19bb2d542f7e1f0a684f70c248797a21a306d50fbf9d86246ef70b47ac60e38d,,unknown,,,,,EXACT00020,True,pypdf_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.md
DOC000066,1-NATM-2020,1-NATM-2020.pptx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/1-NATM-2020.pptx,.pptx,33e54b02175c174a99a7739012e0a70101e516836394186566041b705643cce9,,unknown,,2020,,NATM,EXACT00022,True,python_pptx_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar\1-NATM-2020.md
DOC000067,"6-YALITIM, DRENAJ ve NİHAİ KAPLAMA BETONU","6-YALITIM, DRENAJ ve NİHAİ KAPLAMA BETONU.pptx","Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/6-YALITIM, DRENAJ ve NİHAİ KAPLAMA BETONU.pptx",.pptx,21c81a85613e82c6b1ebeafd9f847e087b0cdc032c8db3933fa8d9438a7f564c,tr,unknown,,,,drainage|final_lining,,True,python_pptx_fallback,"C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar\6-YALITIM, DRENAJ ve NİHAİ KAPLAMA BETONU.md"
DOC000068,TBM(Tunnel Boring Machine),TBM(Tunnel Boring Machine).pptx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/TBM(Tunnel Boring Machine).pptx,.pptx,5f811a624baec87de732a24e235f5f0887f21a17fc42320a7002c14235e319aa,,unknown,,,,TBM,EXACT00023,True,python_pptx_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar\TBM(Tunnel Boring Machine).md
DOC000069,19 MayısUniversitesi14. hafta (2020-2021),19 MayısUniversitesi14. hafta (2020-2021).docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).docx,.docx,43e15adde21fcb6bd4b3b48cb6332a31428312d3c406f330ad4fbaa63aecdcfa,,unknown,,,,,EXACT00024,True,libreoffice_pdf+pypdfium2+rapidocr_torch,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Word Dosyaları\19 MayısUniversitesi14. hafta (2020-2021).md
DOC000070,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,.docx,79b4e713b47ad813559ebeb269d37ed5ea60f56a1308da05d3610a2ed5578cc6,tr,unknown,,,,excavation|drainage|portal,EXACT00025,True,python_docx_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Word Dosyaları\Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.md
DOC000071,ITU Yuksek Lisans Tezi,ITU Yuksek Lisans Tezi.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/ITU Yuksek Lisans Tezi.docx,.docx,cf2fad9c374cff80978324d92e88dd00d6cd4bcb5fd229df8973cfe565b1a477,,unknown,,,,,EXACT00026,True,python_docx_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Word Dosyaları\ITU Yuksek Lisans Tezi.md
DOC000072,KTU_Tez_Tam Metin,KTU_Tez_Tam Metin.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/KTU_Tez_Tam Metin.docx,.docx,d8c47fd59b8c006c036f09be83fed7ee7fd3654016e8a6543caf32addd182c26,,unknown,,,,,EXACT00027,True,python_docx_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Word Dosyaları\KTU_Tez_Tam Metin.md
DOC000073,SinaKiziroglu,SinaKiziroglu.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.docx,.docx,9fea1e259f10c9d371f0762816d9b80216f58e29841b79b2ca26aa9312ec177c,tr,unknown,Karayolları Genel Müdürlüğü,,A,excavation|portal,EXACT00028,True,python_docx_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Word Dosyaları\SinaKiziroglu.md
DOC000074,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.docx,.docx,2acb6a1bea35571728e776f6c3a4449eb9abd9d79a34f3111e700a216eb6a2ea,,unknown,,,,,EXACT00029,True,python_docx_fallback,C:\Users\bulsa\OneDrive\Desktop\tunnel\_TunnelBookAI\data\markdown\Mehmet\Kitap 2.Bolum\Kullanılan Dokumanlar\Word Dosyaları\TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.md
