document_id,source_sha256,runtime_fingerprint,baseline_converter,full_docling_status,quality_status,quality_reason,full_docling_output,baseline_output,recommended_variant,glyph_pattern_count,glyph_pattern_ratio,text_length,image_placeholder_count,review_required
DOC000132,c736114ad7d9ac29557c038d3125645cc50104cd1bb39ff873388c1f65c5ccbe,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Prof Mahir Vardar.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Prof Mahir Vardar.md,full_docling,0,0.0,17150,62,false
DOC000076,b011796d9570a6e89619e5176adf7f8d004df3eb94e103b48b7894b0b6622d59,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_docx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Tuneller Bolum2_9_7_2025.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Kitap 2.Bolum/Tuneller Bolum2_9_7_2025.md,full_docling,0,0.0,50106,54,false
DOC000208,bb2609f7183736147ea9f39930dc3e8af22afcf722a05f9866db5d404d7c163c,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/TÜNEL_SAYI-38.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/TÜNEL_SAYI-38.md,full_docling,0,0.0,303595,240,false
DOC000177,0f9a28ad41ab9c7c470e8d636ad563f20f04c89b5c7301281dcc78b27fdc0a7d,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/E-dergi_Tünel-35.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/E-dergi_Tünel-35.md,full_docling,0,0.0,333304,247,false
DOC000202,1c6f0b26834d8cafc1cb226828293b6152b78b80b058b0e05427f922468f2238,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/Tünel 44_red.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/Tünel 44_red.md,full_docling,0,0.0,205804,239,false
DOC000115,97708590548f2234ac69cfb394e550635427de10767b45e06c79914fce3f7ca4,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_docx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Literatur/Wordler/YTMK/2015/06_OBB_Koralm_HW.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Literatur/Wordler/YTMK/2015/06_OBB_Koralm_HW.md,full_docling,0,0.0,8549,65,false
DOC000126,abc6dcf8e707da2f77f6aa3777630d823ed934fca48f67821114ed835ea64e63,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Dr Orhan Simsek.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Dr Orhan Simsek.md,full_docling,0,0.0,21612,67,false
DOC000205,dddbe58466c36ba63b780a5d8a9540679825e90c8013bdad725c23f57f85d7dc,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/TÜNEL-41.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/TÜNEL-41.md,full_docling,3,8.3e-05,373300,252,false
DOC000073,9fea1e259f10c9d371f0762816d9b80216f58e29841b79b2ca26aa9312ec177c,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_docx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/SinaKiziroglu.md,full_docling,0,0.0,17396,88,false
DOC000288,8403b7acba7a63302cb6a2bbaebb00b0da6ca1693dbadc6e11568e2c7577da4c,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal İyileştirmeleri.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal İyileştirmeleri.md,full_docling,0,0.0,13290,10,false
DOC000131,784b14ff9e8444a97c6d284d4fe232dab00589930f78f3c4ecf441816251e1db,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Nurettin Demir.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Literatur/YTMK Tunelcilik Semineri/2013/Nurettin Demir.md,full_docling,0,0.0,28721,79,false
DOC000222,a1b66bcf747a3e184c1a15db3a6a9ed72a9f46f1dad49e0bacbdb6b5bf921bcc,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Ayna haritamaları ve değerlendirmeler son.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Ayna haritamaları ve değerlendirmeler son.md,full_docling,0,0.0,6532,110,false
DOC000302,1f2620af18f727fc650fba888a0b3b748ffc8a2a378ae188a892567e35d66a5a,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,failed,not_evaluated,runtime_failure,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/TÜNELLERDE GÜZERGAH SEÇİMİ VE jeoteknik araştırmalar son.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/TÜNELLERDE GÜZERGAH SEÇİMİ VE jeoteknik araştırmalar son.md,human_review,0,0,0,0,true
